reseña,calificación,fuente,nombre,fecha
muy bonito el lugar solo falta una piscina un lugar donde poner el reciclaje y lo orgánico ya que los visitantes tiran todo en un mismo lugar tal vez un parqueo bajo techo no quedaría mal y limpieza del rancho,2,google_places_api,cabinas anep,2026-01-12
muy acogedor y siempre que vamos nos reciben muy bien cuentan con piscina un pequeño parqueo y está muy cerca del centro de quepos de supermercados estación de buses y bancos las habitaciones tienen aire acondicionado y tv plana lo mejor de todo es que la playa en busca está a menos de 15 min,5,google_places_api,cabinas estefan,2018-07-09
el wifi es el único problema es austero pero tiene aire acondicionado y el servicio es muy bueno las personas muy agradables me tocó un día de festejo me invitaron de comer y cantamos en el karaoke me diverti,3,google_places_api,cabinas estefan,2022-10-02
lugar limpio barato tiene piscina aire acondicionado abanico cama matrimonial buen precio y recomendación para ir a manuel antonio ya que el bus pasa al frente de la entrada del hotel,4,google_places_api,cabinas estefan,2016-09-20
excelente lugar para quien viaja con poco presupuesto las habitaciones son acogedoras y cuentan con a a abanico de techo tv por cable aunq la tv es pequeña posee buena imagen también posee baño propio con agua caliente y de paso cuentan con una pequeña piscina q sirve para pasar el rato al llegar la atencion fue muy buena y la habitacion estaba limpia y en orden el lugar es seguro y es atendido por su dueña a menos de uns cuadra hay parada de bus por donde pasa uno hacia el parque nacional manuel antonio,5,google_places_api,cabinas estefan,2015-05-08
detalles pros 1 buen precio por la habitación 2 variedad de comodidades entre ellas refri pequeña lavadora equipo básico de cocina y ventilador 3 lugar cómodo limpio y seguro 4 las camas y almohadas cómodas 5 excelente ubicación a 3 kms de la playa de manuel antonio y el la entrada al parque nacional 6 supermercados discotecas y restaurantes muy cerca 7 tiene platos vasos y lo necesario para preparar comidas sencillas frituras y similares 8 mientras más días estés te hacen mejor precio en el hospedaje 9 te dan llaves para ingresar y salir a tu conveniencia datos importantes es una cabina dentro de un espacio de casa sin acabados de lujo no hay parqueo 100 funcional para lo que se necesita pero no es un lugar lujoso aún no hay tv ni wifi aún si vas en autobús debes caminar cuesta arriba y cuesta abajo para llegar a la playa el paseo es hermoso y en realidad acogedor pero es para gente que ama caminar por la montaña como yo conclusión si no le pones peros a la vida y deseas disfrutar del viaje este lugar te será de gran utilidad debes de ir con actitud positiva para aprovechar las características del lugar y la habitación pienso regresar a pasar varios días ahí la disponibilidad de refri y equipamiento básico de cocina te da la oportunidad de preparar tus alimentos y disfrutar economizando mucho dinero recomendado si eres una persona que desea comodidad sobre precio busca un hotel en la playa y prepara tu tarjeta porque te la van a exprimir si eres una persona positiva que disfruta de las oportunidades de la vida y deseas economizar dinero esta es quizás tu mejor opción,4,google_places_api,apartamentos torres manuel antonio,2022-01-11
cabina pequeña pero acogedora excelente para estar en familia e ir a la playa a solo 5 minutos del parque manuel antonio,5,google_places_api,apartamentos torres manuel antonio,2021-04-03
lugar tranquilo comodo siempre a disposición del cliente muy cerca de la playa y supermercados,5,google_places_api,apartamentos torres manuel antonio,2021-08-24
lugar agradable y tranquilo muy cerca dela playa,5,google_places_api,apartamentos torres manuel antonio,2021-04-03
sin detalles mala experiencia,1,google_places_api,apartamentos torres manuel antonio,2021-06-07
la mejor relación precio servicio que se puede encontrar en quepos las habitaciones limpias aire y televisión a un precio bastante cómodo la ubicación es perfecta muy cerca del centro por ende de restaurantes supermercados y parada de bus no es un lugar lujoso pero cumple perfectamente su función para pasar la noche,4,google_places_api,cabinas cas,2022-07-31
entre las ventajas de este hospedaje es la cercanía al centro de quepos una puede salir tranquila y encontrar supermercados tiendas y restaurantes muy cerca además el hospedaje cuenta con buen parqueo entre lo malo el wifi no es muy bueno y mi puntuación es con base a la limpieza del lugar son cabinas con paredes sucias tiene olor a húmedo y el baño tiene moho sus mantelería no es de algodón puro poliéster por lo que recomiendo llevar todo lo que necesitas par vestir una cama si varios varios se quedan en una cabina no van a co seguir suficientes tomacorrientes para conectar sus dispositivos ya que carece de estos la habitación que me tocó el abanico del cielorraso tenía un chillido que no me dejaba dormir y la televisión no le servía el control remoto además la cantidad de zancudos fue un ataque directo a mi sangre dulce,1,google_places_api,cabinas cas,2021-12-20
buena ubicación aseadas y son confortables lo único un poco negativo es el ruido del aire acondicionado no sé si era así en las demás habitaciones,4,google_places_api,cabinas cas,2023-12-03
el lugar es céntrico muy cerca de los supermercados los precios de renta son accesibles solo deben mejorar pintar las pareces de algunas habitaciones ya que están un poco deterioradas y en el servicio al cliente debe ser mejorado en comunicación y trato ya que en algunos momentos se siente como que desconfían de los clientes el servicio al cliente debe ser ágil y muy buen trato en cuanto comunicación para los clientes las cabinas no están mal por eso mi calificación es de esta manera recibí una visita inesperada y le dijeron que no podía entrar a la habitación y que tenía que atender esa perso solo en la puerta que no podía entrar a la habitación que yo ocupaba no sé qué se imaginaron pero bueno por algo será,1,google_places_api,cabinas cali,2021-04-05
lindas habitaciones creo q las más cómodas de la zona hay poca agua como en todo el país o las zonas costeras hay variedad en tipos de cabinas y para diferentes cantidad de personas y con diferentes comodidades tiene parqueo,4,google_places_api,cabinas cali,2017-05-01
un lugares lindo mucho orden responsabilidad seguro su personal excelente se los recomiendo al 100,5,google_places_api,cabinas cali,2019-01-02
lugar muy interesante con edificaciones estilo europeo acceso a la playa heladería restaurante cafetería y tienda,5,google_places_api,guanacaste,2024-05-21
un lugar muy bonito acogedor tranquilo para los huesped,5,google_places_api,villaggio flor de pacifico guanacaste,2025-08-12
habitación fácil pero limpia ducha y cocina grande a un buen precio por la región muchos supermercados cerca solamente 200m al mar además la familia era muy amable y ayudable,5,google_places_api,coco verde,2025-05-05
excelente lugar para hospedarse la habitación es muy cómoda limpia y con una decoración hermosa que hace que uno se sienta muy a gusto desde que llega el baño es amplio y muy limpio lo cual se agradece nos encantó que cuenta con una cocina totalmente equipada ideal para preparar nuestras propias comidas y hacer la estadía aún más práctica además dispone de parqueo y pudimos descansar muy bien gracias a la tranquilidad del lugar aunque no tiene piscina todas las demás comodidades hacen que la experiencia valga completamente la pena sin duda lo recomendamos y volveríamos a hospedarnos aquí muchas gracias por la excelente atención,5,google_places_api,cabinas villas conchal,2026-07-08
después de vivir una experiencia terrible de estafa con otra reserva y pasar una noche para el olvido encontramos este lugar un viernes a las 7 00 am cristopher nos recibió con una disposición increíble y una calidez que nos devolvió la paz no solo nos abrió las puertas a esa hora tan temprana sino que nos ayudó con peticiones extra sin ningún inconveniente la cabina es un sueño huele a madera fresca y está equipada con absolutamente todo lo esencial las camas son sumamente reconfortantes ideales para recuperar fuerzas además la ubicación es estratégica perfecta tanto si vas por trabajo como por vacaciones si estás buscando donde quedarte no lo dudes estarás en las mejores manos gracias cristopher por rescatar nuestro viaje,5,google_places_api,cabinas villas conchal,2025-12-29
deben de poner atencion en la parte exterior del lugar las habitaciones estan bien,3,google_places_api,cabinas guanacaste,2025-10-25
fui a la habitación con ventilador e igual estuvo fresca la noche la cama cómoda y muy accesible,4,google_places_api,cabinas guanacaste,2024-10-18
me pareció excelente el lugar disfrute mucho mi estadía la playa está súper cerca la piscina muy bonita,5,google_places_api,cabinas chale,2025-10-01
excelente lugar todo perfecto y lo mejor la playa a 160 metros,5,google_places_api,cabinas chale,2025-09-15
un ambiente tranquilo fácil acceso buena ubicación bien equipada bonita piscina grande falta de mantenimiento a las cabinas y equipaje la piscina de los niños estuvo sucia y con basura no hay aire acondicionado solo abanicos,4,google_places_api,cabinas chale,2019-01-06
las habitaciones estás muy aseadas excelente presentación un poco pequeñas pero por el precio está muy bien justificado el servicio fue increíble la atención del host es muy detallada la ubicación me dió tranquilidad porque estamos a escasos 500mts de la playa y del centro super recomendado,4,google_places_api,cabinas coco azul guanacaste,2025-08-07
si van en buseta tienen que dejarla a orilla de calle porque los parqueos son solo para carros pequeños la habitación tenía 3 puertas al exterior y a ninguna le funcionaban las cerraduras hay que dejar la habitación abierta prácticamente cualquiera entra y según las reseñas ya alguien se había quejado de eso el aire acondicionado de la habitación era como un ventilador no enfriaba en 16 la piscina lastima porque es onda y no hay para niños el encargado no sabía ni la profundidad que parecía de 1 5 a 2m en la parte profunda y estaba muy descuidado el lugar y la piscina sucia también las duchas con calentadores no funcionaban al servicio había que quitarle la tapa porque no se llenaba y por el tubo de la ducha lo que salía era un chorro muy pequeño apenas para bañarse a la carrera,3,google_places_api,cabina playas del coco guanacaste,2024-01-24
mal estado en general de las cabinas a la refrigeradora se le caía la puerta y la parte de abajo no enfriaba sillas quebradas entre otras cosas se le dijo a la dueña y dijo que no podía hacer nada por el momento,1,google_places_api,cabina playas del coco guanacaste,2025-01-04
bonito lugar cerca de la playa lo que no nos gustó es que una de las habitaciones no tenía puerta es completamente abierta y la otra tenía malo el llavin,5,google_places_api,cabina playas del coco guanacaste,2023-07-26
super recomendado buen servicio de los encargados y el lugar es muy bonito rica piscina con jacuzzi atrás hay un playground para niños pequeños,5,google_places_api,beach paradise cabinas,2023-05-07
es un excelente lugar los dueños super amables siempre pendientes de que estemos bien y con todas las comodidades ubicación buenísima las instalaciones en excelente estado super limpias y comodas se las recomiendo 100 un lugar tranquilo con parrilla bajó techo perfecto lugar para relajarse,5,google_places_api,beach paradise cabinas,2020-06-21
sitio no recomendado para familias ya que todo se escucha y puede ser muy incómodo si se alojan con niños nos dió la sensación que el lugar es utilizado cómo motel no es el espacio perfecto para la familia como se publica en su página web y mucho menos con el compromiso que dicen tener,1,google_places_api,cabinas corobici,2025-08-16
un excelente lugar para pasar en familia se descansa muy bien la habitación que me quedé tenía una refri pequeña aseado y la atención al cliente muy buena él precio muy accesible tiene una pequeña cocina equipada con lo básico recomiendo el lugar me gustó mucho,5,google_places_api,cabinas corobici,2024-04-01
agradable para descansar precios accesibles es ideal para pasar la noche esta en cañas cerca de él cerro pelado pagos en efectivo y con tarjeta dos persona una habitación con abanico 12 mil cólones,3,google_places_api,cabinas corobici,2020-01-16
llame a reservar y pregunte hasta qué hora trabajaba la recepción me dijeron que trabajaban 24 7 cuando llegamos como tipo 11pm la muchacha se puso enojada indicando que ya iba alquilar la cabina y no me permitió pagar con tarjeta en el colchón de la cama matrimonial no se podía dormir se sentían todos los resortes,1,google_places_api,cabinas corobici,2023-04-01
solo entran como 6 canales de cable la llave del baño no funcionaba me dijeron que si había que arreglarlo entonces si sabian que ya estaba malo habitaciones limpias precios comodos,3,google_places_api,cabinas corobici,2024-04-09
excelente lugar para vacacionar y buen precio,5,google_places_api,cabinas los sueños guanacaste,2026-01-07
excelente recomendado 100,5,google_places_api,cabinas los sueños guanacaste,2026-07-15
experiencia una estadía larga excelente ubicación equipadas y con ac tiene piscina pequeña estilo invernadero situaciones especiales doña clemencia y don juan siempre dispuestos a ayudar recomendadas para fiestas santa cruz por cercanía y accesibilidad de buses,5,google_places_api,cabinas colibrí santa cruz,2026-01-03
lugar tranquilo y muy ameno los dueños son excelentes personas que desde la primera impresion se ve que subproyecto fue hecho con cariño,5,google_places_api,cabinas colibrí santa cruz,2025-03-08
tienen disponibilidad del 16 al 18 de enero para 5 adultos,5,google_places_api,cabinas colibrí santa cruz,2025-10-23
un lindo lugar para descansar el servicio espectacular,5,google_places_api,cabinas colibrí santa cruz,2023-02-02
excelente lugar muy comodo y tranquilo buena atención y confianza de parte del personal que nos recibió,5,google_places_api,cabinas el guanacaste,2022-02-10
para nada cumplen con lo estipulado por el ministerio de salud el primer día que llegamos estaba el hijo de jorge el dueño disque limpiando increíblemente se estaba sacudiendo la nariz con las manos en la misma cocina y luego siguio limpiando osea jjjjj obviamente no usamos esa cocina nos atendieron sin mascarillas etc poca agua en ducha lo único agradable fue el aire acondicionado,1,google_places_api,cabinas el guanacaste,2021-07-29
bastante acogedor buena atención muy lindo y tranquilo rodeado de fauna y cerca de playa del coco super recomendado,5,google_places_api,cabinas el guanacaste,2022-05-14
muy lindo y acogedor tranquilo y seguro las recomiendo y por su puesto que volveré,5,google_places_api,cabinas el guanacaste,2021-04-08
exelente atención las instalaciones en muy buenas condiciones el lugar muy seguro y bonito,5,google_places_api,cabinas el guanacaste,2020-03-09
excelente el lugar muy bien equipado y tranquilo el encargado muy amable,5,google_places_api,cabinas playas del coco cocosochil,2026-05-12
fui con mi familia hace unos días y la experiencia fue muy bonita la casa es muy linda ubicada super cerca de la playa muy espaciosa segura la piscina de adultos como la de niños super limpia el área de comedor bastante grande al igual que la cocina y full equipada y sin dejar de lado a uno de los complementos más importantes y valiosos que tiene esa casa es don victor el señor que cuida la casa un trato super amable humilde y muy servicial tanto asi que se quemo el microondas e inmediatamente corrió a comprar uno y el doble de grande para reponer el que no servía esperamos volver de nuevo y disfrutar de este lugar y porsupuesto al lado de la compañía de don victor más q recomendado,5,google_places_api,cabinas playas del coco cocosochil,2024-01-12
la cocina es genial es la única que tiene para cocinar que no hay que preocuparse y la casa muy bien gracias nos atendieron muy bien y muchas playas cerca y la piscina y zona verde,4,google_places_api,cabinas playas del coco cocosochil,2021-02-07
un lugar precioso con piscinas buenísimas la casa súper espaciosa con vista a la playa que está súper cerca amplio espacio para estacionamiento súper seguro con una cocina bellísima y amplia de lo mejor,5,google_places_api,cabinas playas del coco cocosochil,2019-08-17
muy super recomendado calidad,5,google_places_api,cabinas playas del coco cocosochil,2025-09-09
lugar tranquilo hospedaje aseado bonito y cómodo de precio,5,google_places_api,hotel cabinas y piscinas el ensueño,2026-05-30
un negocio familiar alejado del bullucio del centro diez habitaciones muy limpias y agradables wifi para trabajar amplias zonas verdes tranquilo excelente para descansar las personas que atienden maravillosas cálidas y amables excelente opción para eventos viaje de trabajo y al final del día descansar tranquilos y seguros,5,google_places_api,hotel cabinas y piscinas el ensueño,2025-01-30
excelente servicio son muy amables las habitaciones son limpias cómodas y cuentan con buen espacio para trabajar o descansar están equipadas con a c y pantalla un pequeño refrigerador,5,google_places_api,hotel cabinas y piscinas el ensueño,2025-03-20
este lugar es extremadamente asqueroso los aires acondicionados no enfrían nada las camas sábanas baños y pisos super sucios además las paredes y habitaciones tienen humedad por todo lado pusimos la queja y decidimos irnos para otro lado y a pesar de que hablamos con el señor elías se negó rotundamente a devolver la plata con un trato grotezco y prepotente claro piden adelanto del 50 y con eso ya aseguran que la gente al llegar al sitio no puedo cancelar o devolver la plata ojalá les llegará el ministerio de salud y vieras las instalaciones tan deplorables que tienen además una de las habitaciones que alquilamos estaba llena de mosquitos y alacranes simplemente no recomiendo este lugar ni la atención que dan,1,google_places_api,cabinas don elías,2026-06-28
fui a hospedarme y 10 minutos después tuve una emergencia no entre la habitación y el dueño y la administradora no fueron dignos de devolverme el dinero del que les pagué cuando no puse un solo pie en la habitación lo que me dicen que fue porque ya me reservar y la reserva la hice en media hora antes yo lo que creo es que si no tienen política de servicio al cliente no deberían tener nada y si lo que no tienen el dinero y acaparar cualquier venta que llegue entonces deberías dedicarse otra cosa yo entiendo que las ventas están bajas pero eso no es para robarle a alguien 25 000 colones de hospedaje,1,google_places_api,cabinas don elías,2025-06-29
unas cabinas realmente relucientes están súper cerca de la playa el trato es lo mejor el dueño es un amor puedes hasta hacerse su amigo todas las cabinas son cómodas puesto que remodelaron las más pequeñas ahora no hay excusa los comentarios malos son en la mayoría personas que pagan por 1 cabina individual y traen 2 o 3 personas sin pagar eso esta prohibido según lo que tengo entendido si vienes a pasar un buen rato es bastante agradable estar aquí muy buen servicio lo único que falta es una piscina jajaja,5,google_places_api,cabinas don elías,2024-05-12
el lugar está bonito pero la atención al cliente muy mala una vez que entras al lugar te andan encima los chiquitos en la piscina no pueden brincar ni nada xq dice que gasta más agua que el agua es escasa a las 9 45 ya andan rondando qué todos estén metidos en sus cabinas aaa pero a a muy temprana hora el dueño está haciendo buya jugando pull entonces cual es la política lastima el lugar es bonito pero sus administradores hacen que el lugar sea como una cárcel,1,google_places_api,cabinas apartamentos marlova,2025-04-21
pésimo sin higiene ni limpieza sillones llenos de polvo sillas piso toma corriente espejos todo sucio el encargado sentado mientras el lugar desde largo se le ve el polvo la refri olía súper feo y para rematar a un compañero le salió un condon en las sábanas de cama,1,google_places_api,cabinas apartamentos marlova,2026-04-30
nos atendieron a mi familia y a mi de la mejor forma muy ordenado bastante aseado las piscinas excelentes mucho espacio y bastante bien equipadas tanto los cuartos como las áreas comunes acceso a muchas playas desde el lugar a 10 o 15 minutos hasta menos,5,google_places_api,cabinas apartamentos marlova,2025-08-03
son cabinas para vacacionar pero resulta que no se puede escuchar música ni hablar en familia luego de las 10 00pm porque está constantemente el señor subiendo a decir que hagan silencio parece campamento escolar los cuartos son incómodos y no están tan baratos no realizaron ni un solo servicio de limpieza en las 4 noches y 5 días que estuvimos ahí la ubicación no es la mejor,2,google_places_api,cabinas apartamentos marlova,2024-12-31
esta comida es deliciosa el servicio es muy bueno todo lo q una persona soñaría bueno bonito y muy barato,5,google_places_api,soda el punto,2026-06-10
la comida es muy rica y el y la atención excelente y el precio buenísimo,5,google_places_api,soda el punto,2026-06-10
calidad y sabor full recomendado,5,google_places_api,soda el punto,2026-06-10
es muy bueno me gustan como cocinan pueden ir a comer rico les recomiendo los chiles rellenos,5,google_places_api,soda fany,2020-02-07
excelente atención por parte de ambas señoras el menú un poco limitado pero rescatable,5,google_places_api,soda fany,2021-03-19
la verdad la comida es muy rica altamente recomendado todo principalmente el ceviche,5,google_places_api,soda fany,2021-01-31
son excesivamente altos los costos no me explico como los extranjeros visitan ese sitio las facturas no las dan a excepción que uno las exijan y eso que cobran el 13 y el 10 del servicio entre las habitacion se escucha todo y la en segunda planta parece que caminan uno usan un facturaron a mano y es por eso que evitan usar factura timbrado o digital,2,google_places_api,cabinas monteverde paraiso,2023-03-14
es un lugar agradable y familiar apto para personas quieran disfrutar sus vacaciones por su naturaleza espléndida es un lugar de descanso con un clima muy fresco y tranquilo,2,google_places_api,cabinas monteverde paraiso,2018-03-05
tuvimos una experiencia con café muy amena con mau y marian definitivamente es un concepto muy diferente en monteverde la experiencia hace que te sientas en casa todo delicioso,5,google_places_api,black swan coffee shop cr,2026-07-04
es un lugar muy agradable un ambiente familiar el trato de los dueños es muy ameno y la comida es deliciosa y única todo es espectacular se nota el trabajo en cada detalle diario para atender a sus clientes,5,google_places_api,black swan coffee shop cr,2026-07-13
black swan coffee shop ubicado justo a la entrada de monteverde es una parada imperdible el día de la visita tenían café de de tres regiones distintas valle occidental pérez zeledón y un café de la zona de monteverde incluso el productor estaba de visita en el sitio todos los cafés de productores muy reconocidos y de excelente calidad variedad procesos y tueste la experiencia en su amplia barra es increíble mauricio el barista y copropietario es un experto con trayectoria en campeonatos y te explica todo el proceso mientras prepara tu bebida además la pastelería hecha en el sitio es espectacular el ambiente es tan acogedor que incluso terminamos compartiendo café con la pareja que estaba en la barra totalmente recomendado,5,google_places_api,black swan coffee shop cr,2026-07-27
terrible nunca recomendaría este hospedaje las habitaciones son zulos sin ventanas sucias parecían que no se habían limpiado nunca tuvimos que pedir una escoba para recoger la basura de debajo de la cama la ropa de cama con agujeros y mal olor el olor del ambientado que usaban para tapar los malos olores no dejaba ni dormir ruidos continuos durante toda la noche sólo podría destacar el buen trato de la propietaria atenta y amable,1,google_places_api,nahualli hostel tamarindo,2023-01-09
terrorífico sucio tuve que solicitar escoba y trapo para limpiar suelo y armarios debajo de la cama habían botellas sucias y vacías briks de zumos y pajitas todo lleno de polvo tierra y restos de comida el baño completamente sucio lleno de tierra sin agua caliente la habitación prácticamente no tenía luz por suerte llevábamos una linterna con la que teníamos que alumbrarnos la habitación era un zulo sin ventilación de ningún tipo las sábanos y colcha no las habían cambiado y estaban sucias y con restos del anterior huésped durante toda la noche había ruido con golpes en la puerta sin importar la hora un horror todo de ninguna manera lo recomiendo,1,google_places_api,nahualli hostel tamarindo,2023-01-09
habitaciones sucias sin ventilación pocos tomacorrientes entrada al edificio sucio sin aire acondicionado solo con un ventilador lleno de polvo el baño con una cortina por puerta que estaba casi caída,1,google_places_api,nahualli hostel tamarindo,2023-01-24
primero agradecer a los dueños el lugar estaba demasiado bonito una tranquilidad inigualable y cerca de todo y a pocos minutos de otras playas super recomendados,5,google_places_api,cabinas villa del sol,2026-04-26
cabinas bien equipadas en el centro de tamarindo un lugar tranquilo ideal para descansar y disfrutar de la naturaleza cerca del mar y de todo lo que necesitas,5,google_places_api,cabinas villa del sol,2025-11-02
pésimo lugar para descansar no se puede dormir ya que tienen música muy alta del bar hasta muy tarde,1,google_places_api,cabinas tamarindo san francisco,2025-09-14
los aires acondicionados no funcionan las habitaciones huelen a tanque séptico principalmente en los baños le falta mantenimiento a las habitaciones le doy 2 estrellas porque dan desayuno y tienen una piscina,2,google_places_api,cabinas tamarindo san francisco,2025-04-22
excelente servicio son muy amables las cabinas muy bonitas bien limpias y muy ordenadas muy seguro y excelente precio y no hablar de la piscina de buen tamaño,5,google_places_api,cabinas tamarindo san francisco,2022-12-31
si usted busca un lugar tranquilo donde descansar aquí no es el desayuno lo sirven frío,1,google_places_api,cabinas tamarindo san francisco,2025-01-02
excelente lugar para descansar cuando se va de paseo o bien de trabajo cerca del hotel se tiene una amplia gama de restaurantes para desayuno almuerzo o cenar don guido es un excelente anfitrión,5,google_places_api,cabinas tamarindo bagaces,2025-06-30
las cabinas son super completas limpias y con cuentan con aire acondicionado el servicio recibido fue muy cordial y se nos brindo todo la información necesaria muy seguro el lugar sin duda volvería,5,google_places_api,cabinas tamarindo bagaces,2023-02-21
don guido su dueño un señor muy amable atento y servicial la cabina muy cómoda tv todo limpio y ordenado con aire acondicionadoy estacionamiento,5,google_places_api,cabinas tamarindo bagaces,2024-01-26
el lugar es aseado lo dirige directamente el dueño don guido una persona muy cortés amable y educada tiene muy buenos precios parqueo seguro las habitaciones están completas y con aire acondicionado lo recomiendo completamente siempre duermo en este lugar cuando viajo a la zona conozco el lugar desde hace 2 años,4,google_places_api,cabinas tamarindo bagaces,2018-08-14
realmente espectacular muy relajante y cerca de la playa digno de unas buenas vacaciones en costa rica,5,google_places_api,chinuk boutique hotel,2026-06-20
super amables divino el lugar la atención y la amabilidad de los habitantes del lugar,5,google_places_api,chinuk boutique hotel,2026-06-20
realmente hermoso cómo se ve en sus fotos quedamos enamorados del lugar y la atención muy cálidos,5,google_places_api,chinuk boutique hotel,2026-06-20
un airbnb súper equipado muuuuy bien ubicado muy bien la verdad amamos la tranquilidad y limpieza del lugar de fijo volveremos,5,google_places_api,villas inara puerto viejo,2026-03-04
excelente el lugar muy acogedor y con todo lo necesario para la estancia lo disfrutamos mucho,5,google_places_api,villas inara puerto viejo,2026-04-26
el lugar muy bien y muy bonito cerca de las playas y el centro la entrada es camino de piedra pero transitable si el barrio no da buenas vibras pero todo estuvo bien y tranquilo la casa es cómoda con buen aire acondicionado y todas sus comodidades respectivas,5,google_places_api,villas inara puerto viejo,2025-08-03
espaciosa lugar tranquilo y fresco ideal para disfrutar en familia las playas cerca en vehículo se puede llegar en minutos a supermercados restaurantes o al centro,5,google_places_api,tres lodge,2024-01-07
maravillosa estancia perfecto el servicio instalaciones nuevas y un lugar paradisíaco muy recomendable,5,google_places_api,tres lodge,2021-08-03
linda playa,4,google_places_api,cocles,2025-05-11
